City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000",Unemployment Aug 2010 (%),Unemployment Aug 2009 (%),Percent change
Marblehead,19994.0,0,0,2,1,2,1,31,15.5,31,15.5,157,78.5,8,4,2,1,,,
Marion,5226.0,0,0,0,0,1,1.9,9,17.2,35,67,74,141.6,7,13.4,0,0,,,
Marlborough,38253.0,0,0,11,2.9,15,3.9,121,31.6,108,28.2,572,149.5,52,13.6,3,0.8,,,
Marshfield,24600.0,0,0,6,2.4,11,4.5,30,12.2,64,26,215,87.4,27,11,0,0,,,
Mashpee,14417.0,0,0,2,1.4,6,4.2,38,26.4,116,80.5,226,156.8,12,8.3,4,2.8,,,
Mattapoisett,6468.0,0,0,0,0,0,0,5,7.7,6,9.3,91,140.7,3,4.6,0,0,,,
Maynard,10144.0,0,0,0,0,1,1,12,11.8,2,2,13,12.8,1,1,0,0,,,
Medfield,12261.0,1,0.8,0,0,0,0,6,4.9,12,9.8,55,44.9,1,0.8,2,1.6,7,7,0
Medford,55555.0,0,0,2,0.4,44,7.9,43,7.7,205,36.9,1166,209.9,95,17.1,0,0,7.5,8.2,-0.7
Medway,12782.0,0,0,1,0.8,0,0,2,1.6,25,19.6,86,67.3,2,1.6,0,0,6.5,7.5,-1
Melrose,26737.0,0,0,1,0.4,9,3.4,20,7.5,75,28.1,235,87.9,26,9.7,2,0.7,6.6,7.8,-1.2
Mendon,5823.0,0,0,1,1.7,0,0,7,12,12,20.6,29,49.8,2,3.4,1,1.7,6.4,6.4,0
Merrimac,6459.0,0,0,1,1.5,0,0,1,1.5,17,26.3,12,18.6,3,4.6,2,3.1,,,
Methuen,43987.0,1,0.2,4,0.9,14,3.2,110,25,221,50.2,696,158.2,118,26.8,1,0.2,9.9,11.3,-1.4
Middleboro,21402.0,0,0,7,3.3,12,5.6,73,34.1,129,60.3,335,156.5,45,21,1,0.5,,,
Millbury,13551.0,0,0,0,0,1,0.7,34,25.1,74,54.6,194,143.2,14,10.3,2,1.5,8.3,9.2,-0.9
Millis,7928.0,0,0,0,0,0,0,1,1.3,13,16.4,36,45.4,2,2.5,0,0,6.7,7.9,-1.2
Millville,2857.0,0,0,0,0,0,0,5,17.5,8,28,26,91,1,3.5,0,0,12.2,11,1.2
Milton,26298.0,2,0.8,0,0,6,2.3,8,3,67,25.5,207,78.7,6,2.3,0,0,6.9,7.8,-0.9
Monson,8841.0,0,0,4,4.5,0,0,24,27.1,38,43,90,101.8,5,5.7,0,0,7.7,8,-0.3
Montague,8318.0,0,0,7,8.4,2,2.4,40,48.1,59,70.9,116,139.5,11,13.2,6,7.2,10.2,10.1,0.1
Monterey,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.2,-1.2
Nahant,3505.0,0,0,1,2.9,0,0,8,22.8,5,14.3,22,62.8,3,8.6,0,0,7.3,7.4,-0.1
Natick,31943.0,0,0,3,0.9,4,1.3,53,16.6,65,20.3,727,227.6,25,7.8,0,0,5.9,6.6,-0.7
Needham,28231.0,0,0,1,0.4,3,1.1,1,0.4,41,14.5,191,67.7,5,1.8,0,0,5.6,6.4,-0.8
New Bedford,91473.0,4,0.4,59,6.4,301,32.9,827,90.4,1056,115.4,1978,216.2,319,34.9,43,4.7,13.8,14.3,-0.5
New Salem,998,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,6.5,7.5,-1
Newbury,6950.0,0,0,2,2.9,0,0,1,1.4,15,21.6,30,43.2,4,5.8,1,1.4,6.6,7,-0.4
Newburyport,17133.0,0,0,1,0.6,1,0.6,17,9.9,31,18.1,202,117.9,16,9.3,0,0,7.3,7.2,0.1
Newton,83191.0,0,0,8,1,19,2.3,90,10.8,186,22.4,896,107.7,29,3.5,4,0.5,5.6,6,-0.4
Norfolk,10666.0,1,0.9,1,0.9,0,0,9,8.4,45,42.2,41,38.4,1,0.9,0,0,7.9,8,-0.1
North Adams,13781.0,1,0.7,4,2.9,5,3.6,75,54.4,251,182.1,355,257.6,28,20.3,4,2.9,10.2,8.9,1.3
North Andover,27775.0,2,0.7,0,0,3,1.1,8,2.9,26,9.4,186,67,10,3.6,1,0.4,8.1,8.6,-0.5
North Attleboro,27994.0,0,0,2,0.7,7,2.5,21,7.5,94,33.6,519,185.4,22,7.9,2,0.7,,,
North Brookfield,4834.0,0,0,2,4.1,0,0,0,0,9,18.6,23,47.6,6,12.4,0,0,7.5,8.4,-0.9
North Reading,14040.0,0,0,1,0.7,0,0,10,7.1,29,20.7,91,64.8,2,1.4,2,1.4,6.2,6.6,-0.4
Northampton,28341.0,0,0,9,3.2,12,4.2,76,26.8,143,50.5,624,220.2,46,16.2,3,1.1,6.4,6.6,-0.2
Northborough,14683.0,0,0,0,0,1,0.7,7,4.8,16,10.9,80,54.5,5,3.4,1,0.7,6.6,7.7,-1.1
Northbridge,14526.0,0,0,2,1.4,0,0,31,21.3,69,47.5,161,110.8,7,4.8,3,2.1,10,9.7,0.3
Northfield,2990.0,0,0,1,3.3,0,0,10,33.4,24,80.3,43,143.8,3,10,0,0,7,6.6,0.4
Norton,19366.0,0,0,5,2.6,0,0,7,3.6,35,18.1,68,35.1,1,0.5,0,0,8.9,9.1,-0.2
Norwell,10329.0,0,0,2,1.9,1,1,7,6.8,18,17.4,85,82.3,4,3.9,0,0,5.9,7.6,-1.7
Norwood,28119.0,1,0.4,4,1.4,11,3.9,19,6.8,93,33.1,460,163.6,41,14.6,3,1.1,7.1,7.7,-0.6
Oak Bluffs,3731.0,0,0,0,0,0,0,6,16.1,12,32.2,97,260,1,2.7,0,0,4.1,4,0.1
Orange,7831.0,0,0,2,2.6,2,2.6,20,25.5,93,118.8,95,121.3,6,7.7,0,0,11,12.1,-1.1
