City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000",Unemployment Aug 2010 (%),Unemployment Aug 2009 (%),Percent change
Abington,16590.0,1,0.6,10,6,5,3,40,24.1,119,71.7,213,128.4,28,16.9,0,0,8.7,9,-0.3
Acton,20795.0,0,0,5,2.4,2,1,14,6.7,46,22.1,223,107.2,4,1.9,0,0,5.9,6.7,-0.8
Acushnet,10474.0,0,0,2,1.9,1,1,21,20,70,66.8,91,86.9,12,11.5,3,2.9,9.9,10.2,-0.3
Adams,8145.0,0,0,6,7.4,0,0,33,40.5,83,101.9,161,197.7,7,8.6,2,2.5,10,10.5,-0.5
Agawam,28353.0,0,0,6,2.1,7,2.5,30,10.6,80,28.2,206,72.7,39,13.8,5,1.8,8.6,8.3,0.3
Amesbury,16421.0,0,0,6,3.7,3,1.8,37,22.5,40,24.4,241,146.8,10,6.1,3,1.8,7.9,8.5,-0.6
Amherst,36106.0,0,0,13,3.6,9,2.5,64,17.7,211,58.4,235,65.1,24,6.6,2,0.6,6.8,5.9,0.9
Andover,33442.0,0,0,0,0,2,0.6,8,2.4,61,18.2,360,107.6,20,6,1,0.3,6.3,7.2,-0.9
Aquinnah,355,0,0,0,0,0,0,0,0,0,0,7,197.2,0,0,0,0,2.7,1.5,1.2
Arlington,40989.0,0,0,3,0.7,14,3.4,38,9.3,185,45.1,441,107.6,35,8.5,16,3.9,6.1,6.9,-0.8
Ashburnham,6009.0,0,0,0,0,1,1.7,5,8.3,18,30,25,41.6,2,3.3,4,6.7,9.3,10.3,-1
Ashfield,1817.0,0,0,0,0,0,0,3,16.5,5,27.5,11,60.5,0,0,0,0,6.9,6.3,0.6
Ashland,15927.0,0,0,3,1.9,1,0.6,16,10,56,35.2,98,61.5,9,5.7,0,0,6.6,7.9,-1.3
Athol,11637.0,0,0,7,6,3,2.6,37,31.8,109,93.7,172,147.8,10,8.6,2,1.7,12.5,12.2,0.3
Attleboro,43228.0,0,0,8,1.9,31,7.2,104,24.1,223,51.6,662,153.1,71,16.4,9,2.1,,,
Auburn,16298.0,0,0,4,2.5,13,8,0,0,83,50.9,393,241.1,27,16.6,8,4.9,8.5,8.5,0
Avon,4285.0,0,0,0,0,2,4.7,4,9.3,23,53.7,161,375.7,11,25.7,0,0,9.6,10.8,-1.2
Ayer,7378.0,0,0,3,4.1,5,6.8,16,21.7,50,67.8,88,119.3,10,13.6,3,4.1,7.9,8.4,-0.5
Barnstable,47828.0,1,0.2,39,8.2,41,8.6,291,60.8,450,94.1,1105,231,83,17.4,14,2.9,6.5,6.8,-0.3
Barre,5455.0,0,0,2,3.7,2,3.7,16,29.3,21,38.5,47,86.2,4,7.3,0,0,9.7,9.6,0.1
Becket,1803.0,0,0,0,0,0,0,2,11.1,26,144.2,24,133.1,0,0,0,0,9.7,9.1,0.6
Bedford,13215.0,0,0,2,1.5,0,0,2,1.5,29,21.9,153,115.8,3,2.3,0,0,6,6.9,-0.9
Belchertown,14094.0,0,0,1,0.7,0,0,18,12.8,36,25.5,111,78.8,17,12.1,2,1.4,7,6.9,0.1
Belmont,23252.0,0,0,5,2.2,8,3.4,25,10.8,96,41.3,152,65.4,15,6.5,1,0.4,5.8,6.4,-0.6
Berkley,6519.0,0,0,0,0,1,1.5,6,9.2,39,59.8,33,50.6,3,4.6,0,0,7.5,7.8,-0.3
Berlin,2740.0,0,0,0,0,0,0,0,0,1,3.6,16,58.4,1,3.6,0,0,7.4,7.7,-0.3
Bernardston,2234.0,0,0,0,0,0,0,3,13.4,7,31.3,14,62.7,3,13.4,0,0,9.8,8.7,1.1
Beverly,39435.0,0,0,10,2.5,20,5.1,92,23.3,107,27.1,548,139,40,10.1,0,0,6.9,7.8,-0.9
Blackstone,9058.0,0,0,1,1.1,1,1.1,18,19.9,37,40.8,93,102.7,15,16.6,1,1.1,11.5,11.5,0
Bolton,4522.0,0,0,0,0,0,0,2,4.4,29,64.1,31,68.6,1,2.2,2,4.4,6.3,7,-0.7
Boston,604465.0,62,1,237,3.9,2398,39.7,3979,65.8,3493,57.8,16531,273.5,2405,39.8,0,0,8.3,8.6,-0.3
Bourne,19048.0,0,0,5,2.6,10,5.2,48,25.2,258,135.4,313,164.3,9,4.7,3,1.6,8.6,7.8,0.8
Boxborough,5124.0,0,0,2,3.9,2,3.9,7,13.7,14,27.3,34,66.4,4,7.8,1,2,6,6.1,-0.1
Boxford,8088.0,0,0,0,0,0,0,0,0,9,11.1,54,66.8,2,2.5,0,0,5.5,5.6,-0.1
Boylston,4298.0,0,0,0,0,0,0,2,4.7,10,23.3,21,48.9,1,2.3,0,0,8.4,7.8,0.6
Braintree,34495.0,0,0,5,1.4,6,1.7,34,9.9,76,22,806,233.7,30,8.7,1,0.3,7.9,8.1,-0.2
Brewster,10009.0,0,0,0,0,0,0,16,16,35,35,87,86.9,7,7,2,2,5.8,5.8,0
Bridgewater,25546.0,0,0,4,1.6,5,2,42,16.4,59,23.1,166,65,11,4.3,2,0.8,8.4,8.8,-0.4
Brookline,54527.0,0,0,3,0.6,30,5.5,0,0,156,28.6,683,125.3,22,4,2,0.4,4.9,5.8,-0.9
Buckland,1990.0,0,0,1,5,0,0,6,30.2,4,20.1,13,65.3,0,0,0,0,5,4.3,0.7
Burlington,25319.0,0,0,1,0.4,5,2,17,6.7,191,75.4,470,185.6,27,10.7,1,0.4,6.2,7.1,-0.9
Cambridge,101362.0,2,0.2,14,1.4,155,15.3,243,24,396,39.1,2500,246.6,242,23.9,10,1,5.6,5.9,-0.3
Canton,22054.0,0,0,3,1.4,3,1.4,48,21.8,66,29.9,218,98.8,17,7.7,3,1.4,7.2,7.7,-0.5
Carlisle,4900.0,0,0,1,2,0,0,1,2,10,20.4,5,10.2,0,0,0,0,5.6,6.4,-0.8
Carver,11592.0,0,0,1,0.9,3,2.6,16,13.8,30,25.9,62,53.5,8,6.9,3,2.6,8.8,9.1,-0.3
Charlemont,1368.0,0,0,0,0,0,0,0,0,3,21.9,7,51.2,0,0,0,0,6.6,8.3,-1.7
Charlton,12740.0,0,0,1,0.8,2,1.6,12,9.4,40,31.4,74,58.1,17,13.3,2,1.6,8,8.5,-0.5
Chatham,6735.0,0,0,0,0,0,0,5,7.4,44,65.3,146,216.8,1,1.5,0,0,5.8,5.4,0.4
Chelmsford,34187.0,0,0,2,0.6,8,2.3,35,10.2,68,19.9,557,162.9,26,7.6,1,0.3,7.2,7.8,-0.6
Chelsea,38621.0,2,0.5,25,6.5,212,54.9,430,111.3,407,105.4,979,253.5,249,64.5,1,0.3,9.3,9.2,0.1
Cheshire,3287.0,0,0,0,0,0,0,0,0,8,24.3,4,12.2,0,0,0,0,7.4,7.5,-0.1
Chicopee,53777.0,2,0.4,25,4.6,57,10.6,239,44.4,470,87.4,1059,196.9,149,27.7,5,0.9,10.1,10.1,0
Chilmark,978,0,0,0,0,0,0,1,10.2,5,51.1,11,112.5,0,0,0,0,,,
Clinton,14101.0,0,0,0,0,0,0,4,2.8,23,16.3,92,65.2,7,5,0,0,9.9,9.3,0.6
Cohasset,7171.0,0,0,1,1.4,1,1.4,5,7,62,86.5,64,89.2,2,2.8,0,0,6.1,7.3,-1.2
Concord,17543.0,0,0,0,0,2,1.1,11,6.3,88,50.2,182,103.7,3,1.7,2,1.1,5.6,6.4,-0.8
Dalton,6546.0,0,0,4,6.1,1,1.5,16,24.4,24,36.7,59,90.1,1,1.5,6,9.2,7.5,7.8,-0.3
Danvers,26958.0,0,0,2,0.7,9,3.3,41,15.2,65,24.1,845,313.5,35,13,1,0.4,7.1,8.2,-1.1
Dartmouth,34446.0,0,0,5,1.5,11,3.2,58,16.8,157,45.6,869,252.3,43,12.5,7,2,9.7,9.6,0.1
Dedham,24217.0,0,0,3,1.2,20,8.3,14,5.8,74,30.6,492,203.2,27,11.1,1,0.4,7.5,7.9,-0.4
Dennis,15406.0,0,0,5,3.2,7,4.5,67,43.5,166,107.8,333,216.1,19,12.3,4,2.6,7.5,6.8,0.7
Dighton,6819.0,0,0,0,0,0,0,13,19.1,10,14.7,15,22,2,2.9,0,0,9.9,9.5,0.4
Douglas,8033.0,0,0,3,3.7,0,0,9,11.2,12,14.9,15,18.7,7,8.7,0,0,8,9.3,-1.3
Dover,5634.0,0,0,0,0,0,0,4,7.1,4,7.1,16,28.4,1,1.8,0,0,5.3,5.4,-0.1
Dracut,29608.0,0,0,2,0.7,11,3.7,19,6.4,45,15.2,235,79.4,0,0,1,0.3,9.1,9.8,-0.7
Dudley,11181.0,0,0,3,2.7,2,1.8,18,16.1,32,28.6,17,15.2,3,2.7,1,0.9,8.8,10.2,-1.4
East Bridgewater,13988.0,0,0,4,2.9,2,1.4,17,12.2,42,30,148,105.8,16,11.4,1,0.7,8.2,9,-0.8
East Brookfield,2065.0,0,0,0,0,1,4.8,5,24.2,7,33.9,39,188.9,3,14.5,1,4.8,7.7,10.9,-3.2
East Longmeadow,15363.0,0,0,1,0.7,2,1.3,20,13,64,41.7,290,188.8,15,9.8,2,1.3,7.7,7.3,0.4
Eastham,5440.0,0,0,0,0,0,0,0,0,26,47.8,54,99.3,0,0,0,0,6.5,5.7,0.8
Easthampton,16072.0,0,0,1,0.6,2,1.2,40,24.9,63,39.2,109,67.8,7,4.4,6,3.7,8.5,8.1,0.4
Easton,23047.0,0,0,0,0,4,1.7,11,4.8,44,19.1,159,69,8,3.5,0,0,7.2,7.6,-0.4
Edgartown,3935.0,0,0,0,0,0,0,8,20.3,25,63.5,69,175.3,9,22.9,0,0,4.4,3.9,0.5
Egremont,1351.0,0,0,0,0,0,0,2,14.8,5,37,17,125.8,0,0,0,0,5.6,4.5,1.1
Erving,1546.0,0,0,1,6.5,0,0,5,32.3,14,90.6,22,142.3,2,12.9,0,0,8.2,9.7,-1.5
Everett,37172.0,2,0.5,15,4,50,13.5,121,32.6,325,87.4,874,235.1,153,41.2,1,0.3,9.2,9.4,-0.2
Fairhaven,16115.0,1,0.6,0,0,10,6.2,40,24.8,146,90.6,389,241.4,23,14.3,2,1.2,10.6,10.5,0.1
Fall River,90760.0,3,0.3,65,7.2,240,26.4,780,85.9,842,92.8,2337,257.5,349,38.5,37,4.1,13.1,13.9,-0.8
Falmouth,33302.0,1,0.3,15,4.5,9,2.7,100,30,552,165.8,520,156.1,38,11.4,16,4.8,6.4,6,0.4
Fitchburg,40377.0,4,1,24,5.9,62,15.4,0,0,316,78.3,761,188.5,105,26,12,3,12.2,12.3,-0.1
Framingham,64519.0,1,0.2,11,1.7,40,6.2,144,22.3,268,41.5,1166,180.7,166,25.7,0,0,6.3,6.8,-0.5
Franklin,31608.0,0,0,0,0,2,0.6,1,0.3,15,4.7,78,24.7,3,0.9,1,0.3,6.9,7.5,-0.6
Freetown,8990.0,0,0,0,0,1,1.1,16,17.8,58,64.5,90,100.1,15,16.7,3,3.3,9,9.5,-0.5
Gardner,20587.0,0,0,11,5.3,8,3.9,69,33.5,190,92.3,331,160.8,36,17.5,3,1.5,11.2,11.7,-0.5
Georgetown,8241.0,0,0,0,0,0,0,2,2.4,5,6.1,35,42.5,1,1.2,0,0,5.9,7.2,-1.3
Gill,1381.0,0,0,0,0,0,0,1,7.2,5,36.2,11,79.7,0,0,0,0,7.7,8,-0.3
Gloucester,30303.0,0,0,10,3.3,1,0.3,15,5,103,34,504,166.3,17,5.6,1,0.3,8.1,9.1,-1
Goshen,960,0,0,0,0,0,0,1,10.4,2,20.8,0,0,0,0,0,0,6.8,6.3,0.5
Grafton,17872.0,0,0,0,0,0,0,7,3.9,58,32.5,61,34.1,17,9.5,1,0.6,7.6,8.6,-1
